MM-DD,Discharge_m3s
01-01,0.42857142857142855
01-02,0.2857142857142857
01-03,0.14285714285714285
01-04,0.0
01-05,0.0
01-06,0.0
01-07,0.0
01-08,0.0
01-09,0.0
01-10,0.0
01-11,0.0
01-12,0.0
01-13,0.0
01-14,0.0
01-15,0.0
01-16,0.0
01-17,0.0
01-18,0.0
01-19,0.0
01-20,0.0
01-21,0.0
01-22,0.0
01-23,0.0
01-24,0.0
01-25,0.0
01-26,0.0
01-27,0.0
01-28,0.0
01-29,0.0
01-30,0.0
01-31,0.0
02-01,0.0
02-02,0.0
02-03,0.0
02-04,0.0
02-05,0.0
02-06,0.0
02-07,0.0
02-08,0.0
02-09,0.0
02-10,0.0
02-11,0.0
02-12,0.0
02-13,0.0
02-14,0.0
02-15,0.0
02-16,0.0
02-17,0.0
02-18,0.0
02-19,0.0
02-20,0.0
02-21,0.0
02-22,0.0
02-23,0.0
02-24,0.0
02-25,0.0
02-26,0.0
02-27,0.0
02-28,0.0
03-01,0.0
03-02,0.0
03-03,0.0
03-04,0.0
03-05,0.0
03-06,0.0
03-07,0.0
03-08,0.0
03-09,0.0
03-10,0.0
03-11,0.0
03-12,0.0
03-13,0.0
03-14,0.0
03-15,0.0
03-16,0.0
03-17,0.0
03-18,0.0
03-19,0.0
03-20,0.0
03-21,0.0
03-22,0.0
03-23,0.0
03-24,0.0
03-25,0.0
03-26,0.0
03-27,0.0
03-28,0.0
03-29,0.0
03-30,0.0
03-31,0.0
04-01,0.0
04-02,0.0
04-03,0.0
04-04,0.0
04-05,0.0
04-06,0.0
04-07,0.0
04-08,0.0
04-09,0.0
04-10,0.0
04-11,0.0
04-12,0.0
04-13,0.0
04-14,0.0
04-15,0.0
04-16,0.0
04-17,0.0
04-18,0.0
04-19,0.0
04-20,0.0
04-21,0.0
04-22,0.0
04-23,0.0
04-24,0.0
04-25,0.0
04-26,0.0
04-27,0.0
04-28,0.0
04-29,0.0
04-30,0.0
05-01,0.0
05-02,0.0
05-03,0.0
05-04,0.0
05-05,0.0
05-06,0.0
05-07,0.0
05-08,0.0
05-09,0.0
05-10,0.0
05-11,0.0
05-12,0.0
05-13,0.0
05-14,0.0
05-15,0.0
05-16,0.0
05-17,0.0
05-18,0.0
05-19,0.0
05-20,0.0
05-21,0.0
05-22,0.0
05-23,0.0
05-24,0.0
05-25,0.0
05-26,0.0
05-27,0.0
05-28,0.14285714285714285
05-29,0.2857142857142857
05-30,0.2857142857142857
05-31,0.2857142857142857
06-01,0.42857142857142855
06-02,0.5714285714285714
06-03,0.7142857142857143
06-04,0.8571428571428571
06-05,1.1428571428571428
06-06,1.4285714285714286
06-07,1.7142857142857142
06-08,1.7142857142857142
06-09,1.5714285714285714
06-10,1.5714285714285714
06-11,1.4285714285714286
06-12,1.0
06-13,0.7142857142857143
06-14,0.7142857142857143
06-15,0.8571428571428571
06-16,1.0
06-17,0.8571428571428571
06-18,0.7142857142857143
06-19,0.7142857142857143
06-20,1.0
06-21,1.0
06-22,0.8571428571428571
06-23,1.0
06-24,1.1428571428571428
06-25,1.1428571428571428
06-26,1.1428571428571428
06-27,0.8571428571428571
06-28,0.5714285714285714
06-29,0.7142857142857143
06-30,0.5714285714285714
07-01,0.5714285714285714
07-02,0.7142857142857143
07-03,0.8571428571428571
07-04,1.0
07-05,1.2857142857142858
07-06,1.2857142857142858
07-07,1.5714285714285714
07-08,1.8571428571428572
07-09,2.142857142857143
07-10,2.142857142857143
07-11,2.142857142857143
07-12,2.142857142857143
07-13,1.8571428571428572
07-14,1.8571428571428572
07-15,1.7142857142857142
07-16,1.8571428571428572
07-17,2.142857142857143
07-18,2.7142857142857144
07-19,2.857142857142857
07-20,3.0
07-21,3.142857142857143
07-22,3.7142857142857144
07-23,4.0
07-24,4.428571428571429
07-25,4.571428571428571
07-26,4.857142857142857
07-27,5.142857142857143
07-28,4.857142857142857
07-29,4.857142857142857
07-30,4.857142857142857
07-31,4.785714285714286
08-01,4.571428571428571
08-02,4.357142857142857
08-03,4.857142857142857
08-04,5.428571428571429
08-05,6.0
08-06,6.357142857142857
08-07,7.0
08-08,7.785714285714286
08-09,8.714285714285714
08-10,8.928571428571429
08-11,9.5
08-12,9.642857142857142
08-13,10.0
08-14,10.0
08-15,9.857142857142858
08-16,9.857142857142858
08-17,10.142857142857142
08-18,9.714285714285714
08-19,8.857142857142858
08-20,7.857142857142857
08-21,7.0
08-22,6.571428571428571
08-23,5.857142857142857
08-24,5.142857142857143
08-25,4.714285714285714
08-26,4.428571428571429
08-27,4.714285714285714
08-28,5.0
08-29,5.285714285714286
08-30,5.714285714285714
08-31,6.285714285714286
09-01,6.857142857142857
09-02,7.571428571428571
09-03,7.857142857142857
09-04,8.285714285714286
09-05,8.428571428571429
09-06,8.714285714285714
09-07,9.0
09-08,9.571428571428571
09-09,9.857142857142858
09-10,9.857142857142858
09-11,9.428571428571429
09-12,8.714285714285714
09-13,7.857142857142857
09-14,6.714285714285714
09-15,5.571428571428571
09-16,4.714285714285714
09-17,4.428571428571429
09-18,4.571428571428571
09-19,5.0
09-20,5.285714285714286
09-21,5.714285714285714
09-22,5.857142857142857
09-23,5.857142857142857
09-24,5.428571428571429
09-25,4.714285714285714
09-26,3.857142857142857
09-27,3.142857142857143
09-28,2.4285714285714284
09-29,1.8571428571428572
09-30,1.4285714285714286
10-01,1.1428571428571428
10-02,1.0
10-03,1.0
10-04,1.0
10-05,1.0
10-06,1.0
10-07,1.0
10-08,1.0
10-09,1.0
10-10,1.0
10-11,1.0
10-12,1.0
10-13,1.0
10-14,1.0
10-15,1.0
10-16,1.0
10-17,1.0
10-18,1.0
10-19,1.0
10-20,1.0
10-21,1.0
10-22,1.0
10-23,1.0
10-24,1.0
10-25,1.0
10-26,1.0
10-27,1.0
10-28,1.0
10-29,1.0
10-30,1.0
10-31,1.0
11-01,1.0
11-02,1.0
11-03,1.0
11-04,1.0
11-05,1.0
11-06,1.0
11-07,1.0
11-08,1.0
11-09,1.0
11-10,1.0
11-11,1.0
11-12,1.0
11-13,1.0
11-14,1.0
11-15,1.0
11-16,1.0
11-17,1.0
11-18,1.0
11-19,1.0
11-20,1.0
11-21,1.0
11-22,1.0
11-23,1.0
11-24,1.0
11-25,1.0
11-26,1.0
11-27,1.0
11-28,1.0
11-29,1.0
11-30,1.0
12-01,1.0
12-02,1.0
12-03,1.0
12-04,1.0
12-05,1.0
12-06,1.0
12-07,1.0
12-08,1.0
12-09,1.0
12-10,1.0
12-11,1.0
12-12,1.0
12-13,1.0
12-14,1.0
12-15,1.0
12-16,1.0
12-17,1.0
12-18,1.0
12-19,1.0
12-20,1.0
12-21,1.0
12-22,1.0
12-23,1.0
12-24,1.0
12-25,1.0
12-26,1.0
12-27,1.0
12-28,1.0
12-29,0.8571428571428571
12-30,0.7142857142857143
12-31,0.5714285714285714
